Szczegółowe wyniki eksperymentów GLVQ
======================================

--- Exp 1: prototypes_per_class vs max_iter ---
  [Exp 1] Prototypy: 1, Max Iter: 1 -> PK = 76.07%
  [Exp 1] Prototypy: 1, Max Iter: 2 -> PK = 72.32%
  [Exp 1] Prototypy: 1, Max Iter: 5 -> PK = 74.82%
  [Exp 1] Prototypy: 1, Max Iter: 8 -> PK = 76.25%
  [Exp 1] Prototypy: 1, Max Iter: 12 -> PK = 76.25%
  [Exp 1] Prototypy: 1, Max Iter: 20 -> PK = 76.25%
  [Exp 1] Prototypy: 1, Max Iter: 50 -> PK = 76.25%
  [Exp 1] Prototypy: 1, Max Iter: 80 -> PK = 76.25%
  [Exp 1] Prototypy: 2, Max Iter: 1 -> PK = 77.50%
  [Exp 1] Prototypy: 2, Max Iter: 2 -> PK = 76.25%
  [Exp 1] Prototypy: 2, Max Iter: 5 -> PK = 71.96%
  [Exp 1] Prototypy: 2, Max Iter: 8 -> PK = 72.14%
  [Exp 1] Prototypy: 2, Max Iter: 12 -> PK = 73.57%
  [Exp 1] Prototypy: 2, Max Iter: 20 -> PK = 73.57%
  [Exp 1] Prototypy: 2, Max Iter: 50 -> PK = 73.57%
  [Exp 1] Prototypy: 2, Max Iter: 80 -> PK = 73.57%
  [Exp 1] Prototypy: 3, Max Iter: 1 -> PK = 80.36%
  [Exp 1] Prototypy: 3, Max Iter: 2 -> PK = 78.93%
  [Exp 1] Prototypy: 3, Max Iter: 5 -> PK = 74.82%
  [Exp 1] Prototypy: 3, Max Iter: 8 -> PK = 75.00%
  [Exp 1] Prototypy: 3, Max Iter: 12 -> PK = 76.43%
  [Exp 1] Prototypy: 3, Max Iter: 20 -> PK = 77.68%
  [Exp 1] Prototypy: 3, Max Iter: 50 -> PK = 73.75%
  [Exp 1] Prototypy: 3, Max Iter: 80 -> PK = 72.32%
  [Exp 1] Prototypy: 4, Max Iter: 1 -> PK = 77.86%
  [Exp 1] Prototypy: 4, Max Iter: 2 -> PK = 75.00%
  [Exp 1] Prototypy: 4, Max Iter: 5 -> PK = 72.14%
  [Exp 1] Prototypy: 4, Max Iter: 8 -> PK = 70.71%
  [Exp 1] Prototypy: 4, Max Iter: 12 -> PK = 70.71%
  [Exp 1] Prototypy: 4, Max Iter: 20 -> PK = 71.96%
  [Exp 1] Prototypy: 4, Max Iter: 50 -> PK = 73.39%
  [Exp 1] Prototypy: 4, Max Iter: 80 -> PK = 73.39%
  [Exp 1] Prototypy: 5, Max Iter: 1 -> PK = 77.86%
